순번,년도,군기사고(자살),군기사고(총기),군기사고(폭행),군기사고(기타),안전사고(차량),안전사고(함정항공),안전사고(폭발),안전사고(추락충격),안전사고(익사),안전사고(화재),안전사고(기타),군자살률(10만명당),민간자살률(10만명당)
1,2009,81,0,0,0,13,0,0,8,7,0,4,12.4,31
2,2010,82,0,1,0,9,13,0,8,4,0,12,12.6,31.2
3,2011,97,4,0,0,18,5,1,5,2,0,11,15.2,31.7
4,2012,72,0,1,0,17,1,0,5,2,3,10,11.1,28.1
5,2013,79,0,0,1,15,2,0,7,6,0,7,12.2,28.5
6,2014,67,5,1,3,12,0,1,2,3,0,7,10.2,27.3
7,2015,57,0,0,8,6,0,1,5,5,0,11,8.7,26.5
8,2016,54,0,0,3,5,7,3,4,0,0,5,8.2,25.6
9,2017,51,0,0,1,10,0,3,1,3,0,6,8,24.3
10,2018,56,0,0,4,6,7,1,4,5,1,2,8.78,21.5
11,2019,63,0,0,1,9,0,1,7,3,0,3,9.3,
